name,cost,type,entertainment,region,subregion,currency,language,capital
United Arab Emirates,Regular,"[""Family""]","[""Attractions"",""Relaxing"",""Photography"",""Parties""]",Asia,Western Asia,United Arab Emirates dirham,"[""Arabic""]",Abu Dhabi
Antarctica,Regular,,"[""Adventure""]",Polar,,,"[""English"",""Russian""]",
Argentina,Low,"[""Solo"",""Friends""]","[""Relaxing""]",Americas,South America,Argentine peso,"[""Spanish"",""Guaraní""]",Buenos Aires
Armenia,Low,"[""Friends""]",,Asia,Western Asia,Armenian dram,"[""Armenian"",""Russian""]",Yerevan
Australia,Regular,"[""Solo"",""Family"",""Couple""]","[""Attractions"",""Relaxing"",""Photography"",""Adventure""]",Oceania,Australia and New Zealand,Australian dollar,"[""English""]",Canberra
Austria,Regular,"[""Friends""]","[""Adventure"",""Photography""]",Europe,Western Europe,Euro,"[""German""]",Vienna
Bahamas,Regular,"[""Friends""]",,Americas,Caribbean,Bahamian dollar,"[""English""]",Nassau
Belgium,Regular,"[""Couple""]",,Europe,Western Europe,Euro,"[""Dutch"",""French"",""German""]",Brussels
Belize,Regular,"[""Couple""]","[""Adventure"",""Relaxing""]",Americas,Central America,Belize dollar,"[""English"",""Spanish""]",Belmopan
Bermuda,Regular,"[""Friends"",""Couple""]",,Americas,Northern America,Bermudian dollar,"[""English""]",Hamilton
Bolivia,Low,"[""Friends""]","[""Adventure""]",Americas,South America,Bolivian boliviano,"[""Spanish"",""Aymara"",""Quechua""]",Sucre
Brazil,Regular,,"[""Attractions"",""Photography""]",Americas,South America,Brazilian real,"[""Portuguese""]",Brasília
British Virgin Islands,Regular,"[""Couple""]",,Americas,Caribbean,United States dollar,"[""English""]",Road Town
Bulgaria,Low,"[""Couple"",""Family""]",,Europe,Eastern Europe,Bulgarian lev,"[""Bulgarian""]",Sofia
Cambodia,Low,"[""Friends""]","[""Attractions"",""Relaxing"",""Photography""]",Asia,South-Eastern Asia,Cambodian riel,"[""Khmer""]",Phnom Penh
Canada,Regular,"[""Solo"",""Family"",""Friends""]","[""Adventure"",""Attractions"",""Relaxing""]",Americas,Northern America,Canadian dollar,"[""English"",""French""]",Ottawa
Chile,Regular,"[""Family"",""Couple""]","[""Adventure"",""Relaxing""]",Americas,South America,Chilean peso,"[""Spanish""]",Santiago
